content_id,account_id,content_type,account_role,account_publish_content_cnt_td,account_first_audit_content_cnt_td_pass,account_second_audit_content_cnt_td_pass,account_third_audit_content_cnt_td_pass,account_account_elite_content_cnt_td,account_distribute_content_cnt_td,account_first_audit_pass_cnt_1d,account_second_audit_pass_cnt_1d,account_third_audit_pass_cnt_1d,account_elite_cnt_1d,account_expo_pv_1d,account_click_pv_1d,account_consume_pv_1d,account_consume_time_1d,account_valid_consume_pv_1d,account_valid_consume_time_1d,account_play_vv_1d,account_play_time_1d,account_valid_play_vv_1d,account_valid_play_time_1d,account_complete_play_vv_1d,account_itrt_pv_1d,account_favor_pv_1d,account_comment_pv_1d,account_share_pv_1d,account_collect_pv_1d,account_attention_pv_1d,account_ipv_pv_1d,account_lead_shop_pv_1d,account_cart_cnt_1d,account_cart_item_qty_1d,account_cart_amt_1d,account_pay_cnt_1d,account_pay_item_qty_1d,account_pay_amt_1d,account_zhongcao_pv_1d,account_consume_zhongcao_pv_1d,account_cart_zhongcao_pv_1d,account_ipv_zhongcao_pv_1d,account_pay_order_zhongcao_1d,account_pay_item_qty_zhongcao_1d,account_pay_amt_zhongcao_1d,expo_pv_1d,expo_uv_1d,click_pv_1d,click_uv_1d,consume_pv_1d,consume_time_1d,consume_uv_1d,consume_pv_1d_valid,consume_time_1d_valid,consume_uv_1d_valid,play_vv_1d,play_time_1d,play_uv_1d,play_vv_1d_valid,play_time_1d_valid,play_uv_1d_valid,play_vv_complete_1d,play_uv_complete_1d,itrt_pv_1d,itrt_uv_1d,favor_pv_1d,favor_uv_1d,comment_pv_1d,comment_uv_1d,share_pv_1d,share_uv_1d,collect_pv_1d,collect_uv_1d,attention_pv_1d,attention_uv_1d,ipv_pv_1d,ipv_uv_1d,lead_shop_pv_1d,lead_shop_uv_1d,cart_cnt_1d,cart_item_qty_1d,cart_amt_1d,cart_uv_1d,pay_cnt_1d,pay_item_qty_1d,pay_amt_1d,pay_buyer_cnt_1d,zhongcao_pv_1d,zhongcao_uv_1d,zhongcao_pv_1d_consume,zhongcao_uv_1d_consume,zhongcao_pv_1d_cart,zhongcao_uv_1d_cart,zhongcao_pv_1d_ipv,zhongcao_uv_1d_ipv,pay_order_cnt_1d_zc,pay_item_qty_1d_zc,pay_amt_1d_zc,pay_buyer_cnt_1d_zc,gmt_create,publish_time,content_title,content_tag_level1_name,content_tag_level2_name,content_tag_level3_name,item_id,item_title,reserve_price,cate_id,cate_name,cate_level,cate_level1_id,cate_level2_id,cate_level3_id,cate_level4_id,cate_level5_id,cate_level1_name,cate_level2_name,cate_level3_name,cate_level4_name,cate_level5_name,commodity_id,commodity_name,lead_pay_visitor_ids,visite_time
2.21E+11,762256650,article,Toc,1,1,0,0,0,1,0,0,0,0,5167,584,492,2858470,296,2803750,1,26675,1,26675,0,3,1,0,2,1,8,83,83,4,4,420,2,2,225.8,381,296,10,83,2,2,225.8,343,77,26,22,449,1720369,404,177,1206599,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,14,10,1,1,105,1,0,0,0,0,192,174,177,173,1,1,14,10,0,0,0,0,2019/3/16 17:10,2019/3/16 17:10,很好的一双鞋，鞋盒太不好了，穿上也正�?时尚,时尚,时尚,5.70E+11,2023高跟凉鞋镂空罗马女鞋сандалии high heels sandals,105,50012032,时装凉鞋,3,50006843,201273398,50012032,,,女鞋,凉鞋,时装凉鞋,,,100060915,�?,20230520,,
2.21E+11,762256650,article,Toc,1,1,0,0,0,1,0,0,0,0,5167,584,492,2858470,296,2803750,1,26675,1,26675,0,3,1,0,2,1,8,83,83,4,4,420,2,2,225.8,381,296,10,83,2,2,225.8,728,65,55,21,345,1313419,301,149,959710,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,6,9,6,0,0,0,0,0,0,0,0,158,141,149,141,0,0,9,6,0,0,0,0,2019/3/16 17:10,2019/3/16 17:10,很好的一双鞋，鞋盒太不好了，穿上也正�?时尚,时尚,时尚,5.70E+11,2023高跟凉鞋镂空罗马女鞋сандалии high heels sandals,105,50012032,时装凉鞋,3,50006843,201273398,50012032,,,女鞋,凉鞋,时装凉鞋,,,100060915,�?,20230519,,
1.87E+13,62124943680,article,Toc,80,80,0,0,0,0,0,0,0,0,11120,240,480,3802400,320,3648800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680,7680,160,160,160,1325600,160,80,1164000,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/8/9 19:20,2019/8/9 19:20,新手妈妈必备宝宝护臀霜！经验分享~,育儿,育儿,育儿,4.22E+13,,,,,,,,,,,,,,,,,,,20230528
1.87E+13,62124943680,article,Toc,80,80,0,0,0,0,0,0,0,0,11120,240,480,3802400,320,3648800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10320,10320,80,80,80,252000,80,80,252000,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/8/9 19:20,2019/8/9 19:20,新手妈妈必备宝宝护臀霜！经验分享~,育儿,育儿,育儿,4.22E+13,,,,,,,,,,,,,,,,,,,20230527
2.01E+13,12125275176,article,Toc,84,84,84,0,0,84,0,0,0,0,20748,2520,12516,198755928,8316,191625840,84,606732,84,606732,0,168,84,168,0,0,84,1344,1344,84,168,32928,0,0,0,8484,8148,756,1344,0,0,0,1428,420,336,252,4200,33321120,3612,3276,31760400,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,168,168,168,0,0,0,0,0,0,0,0,3444,3024,3276,3024,0,0,168,168,0,0,0,0,2019/10/20 15:19,2019/10/20 15:19,第二次买了，以前买过白盆子弹头那款。听人声不错了，装迷宫箱，低音也有质感�?科技,科技,科技,4.53E+13,莞音4寸全频喇�?寸中音喇叭发烧级布边汽车改装喇叭hifi扬声�?16464,50002927,喇叭/扬声�?3,50024099,125160006,50002927,,,电子元器件市�?电声器材,喇叭/扬声�?,,1032329,喇叭,,20230530,,,,,
2.01E+13,12125275176,article,Toc,84,84,84,0,0,84,0,0,0,0,20748,2520,12516,198755928,8316,191625840,84,606732,84,606732,0,168,84,168,0,0,84,1344,1344,84,168,32928,0,0,0,8484,8148,756,1344,0,0,0,6132,924,1428,672,5880,75521880,4284,4284,73028676,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,504,924,504,0,0,0,0,0,0,0,0,5208,3780,4284,3780,0,0,924,504,0,0,0,0,2019/10/20 15:19,2019/10/20 15:19,第二次买了，以前买过白盆子弹头那款。听人声不错了，装迷宫箱，低音也有质感�?科技,科技,科技,4.53E+13,莞音4寸全频喇�?寸中音喇叭发烧级布边汽车改装喇叭hifi扬声�?16464,50002927,喇叭/扬声�?3,50024099,125160006,50002927,,,电子元器件市�?电声器材,喇叭/扬声�?,,1032329,喇叭,,20230531,,,,,
2.75E+12,12146361062,video,Tol,11,11,11,11,0,11,33,33,22,22,1026993,101926,1297725,18801733973,784454,18360792439,1257311,18214277708,774345,17837106045,366289,12485,8250,869,913,3201,9262,2893,3157,473,638,126112.8,33,33,1448.7,162954,162338,2068,2893,418,484,33199.76,14795,14652,121,121,1551,3848988,1067,154,2659921,110,1518,3744378,1067,132,2582921,110,11,11,11,11,0,0,11,11,0,0,0,0,0,0,33,11,33,11,11,11,869,11,0,0,0,0,220,110,154,110,33,11,33,11,0,0,0,0,2020/1/5 15:48,2020/1/5 15:48,开�?和第6弹荣耀卡，中三张绝�?潮玩,潮玩,潮玩,6.61E+12,正版奥特曼卡片荣耀版第20弹BCR卡游二十�?D立体SHR一�?0元卡�?869,122642005,奥特曼玩具专�?3,25,124346005,122642005,,,玩具/童车/益智/积木/模型,儿童机器�?变形/拼装/人偶玩具,奥特曼玩具专�?,,100060255,模型玩具,,20230605,,,,
2.75E+12,12146361062,video,Tol,11,11,11,11,0,11,33,33,22,22,1026993,101926,1297725,18801733973,784454,18360792439,1257311,18214277708,774345,17837106045,366289,12485,8250,869,913,3201,9262,2893,3157,473,638,126112.8,33,33,1448.7,162954,162338,2068,2893,418,484,33199.76,17006,16874,363,242,495,8319795,297,253,7974901,176,495,8319795,297,253,7974901,176,66,55,22,11,11,11,0,0,0,0,11,11,22,11,0,0,0,0,0,0,0,0,0,0,0,0,253,176,253,176,0,0,0,0,0,0,0,0,2020/1/5 15:48,2020/1/5 15:48,开�?和第6弹荣耀卡，中三张绝�?潮玩,潮玩,潮玩,6.61E+12,正版奥特曼卡片荣耀版第20弹BCR卡游二十�?D立体SHR一�?0元卡�?869,122642005,奥特曼玩具专�?3,25,124346005,122642005,,,玩具/童车/益智/积木/模型,儿童机器�?变形/拼装/人偶玩具,奥特曼玩具专�?,,100060255,模型玩具,,20230604,,,,
1.95E+13,11817566915,article,Toc,77,77,0,0,0,0,0,77,0,0,188804,19019,6622,61569893,4235,57384943,77,556402,77,556402,0,539,539,231,0,0,77,1155,1155,77,77,5775,77,77,3103.87,5159,4235,77,1155,77,154,3103.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2/20 20:23,2020/2/20 20:23,大猫咪小猫咪都喜欢吃,宠物,宠物,宠物,4.15E+13,雷米高澳丽得猫粮2.5kg5�?00g小包海洋鱼肉英短美短成猫幼猫通用,5775,50023066,猫全价膨化粮,3,29,201821102,50023066,,,宠物/宠物食品及用�?全价猫主�?猫全价膨化粮,,,100164036,宠物食品,,20230606,,
1.95E+13,11817566915,article,Toc,77,77,0,0,0,0,0,77,0,0,188804,19019,6622,61569893,4235,57384943,77,556402,77,556402,0,539,539,231,0,0,77,1155,1155,77,77,5775,77,77,3103.87,5159,4235,77,1155,77,154,3103.87,0,0,0,0,77,78540,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2/20 20:23,2020/2/20 20:23,大猫咪小猫咪都喜欢吃,宠物,宠物,宠物,4.15E+13,雷米高澳丽得猫粮2.5kg5�?00g小包海洋鱼肉英短美短成猫幼猫通用,5775,50023066,猫全价膨化粮,3,29,201821102,50023066,,,宠物/宠物食品及用�?全价猫主�?猫全价膨化粮,,,100164036,宠物食品,,20230607,,
